study,condition_arm1,condition_arm2,multi_arm1,multi_arm2,outcome_type,instrument,completer,time,time_weeks,rating,mean_arm1,sd_arm1,n_arm1,mean_arm2,sd_arm2,n_arm2,m_baseline_arm1,sd_baseline_arm1,n_baseline_arm1,m_baseline_arm2,sd_baseline_arm2,n_baseline_arm2,dich_type,event_arm1,event_arm2,totaln_arm1,totaln_arm2,.g,.g_se,condition_arm1.detail,condition_arm2.detail,condition_arm1.lumped_category,condition_arm1.intermediate_category,condition_arm1.meta_analysis,n_randomized_arm1,n_randomized_arm2,total_n_randomized,condition_arm1.psychotherapy_subclass,condition_arm1.treatment_description,condition_arm1.session_length,condition_arm1.frequency,condition_arm1.treatment_duration_detail,format,delivery_method,narrow_category,study_class,def_treatment_completion,percent_completed,psychotherapy_sessions_mean,psychotherapy_sessions_sd,psychotherapy_sessions_qual,military_status,percent_community,mean_age,country,female_percent,trauma_type,trauma_detail,rob_d1,rob_d2,rob_d3,rob_d4,rob_d5,rob,rob_numeric,arms_compared,year_added_to_ptsd_repository,intervention_group_ctr,design,outcome_assessment_type,statistical_analysis,g_data_source,precalc_g,precalc_g_se,intervention_group.arm1,intervention_group.arm2,year_added_to_repo,.id,ptsd_pubs_id,study_id,.log_rr,.log_rr_se,.event_arm1,.event_arm2,.totaln_arm1,.totaln_arm2,trtResponder,nTrt,ctrResponder,nCtr,logRR,seLogRR,logOR,seLogOR,full_ref
"Beck, 2009",TF-CBT,Other,,,msd,CAPS,completer,post,14,clinician,28.9,19.9,17,49.4,27,16,57.3,15.5,17,57.8,14.9,16,,,,,,0.8473251337,0.3643520513,Trauma-focused cognitive behavioral therapy (TF-CBT),Minimal attention,TF-CBT,Mixed exposure/ cognitive,TF-CBT,26,18,44,Trauma-focused,"Based on Blanchard and Hickling's individual CBT with modifications: treatment extended; detailed manual developed to standardize treatment; imaginal exposure assigned as homework and exposure to target trauma (MVA) conducted in writing; emphasis placed on teaching the principles of extinction to facilitate exposure during homework; treatment delivered by two therapists. Included: psychoeducation; exposure; mindfulness meditation; progressive muscle relaxation; cognitive therapy interventions and assertion training; behavioral activation; and, relapse prevention training.",2 hours,Weekly,,Group,In Person,TF-CBT,Psychotherapy,attended ≥75% of sessions,0.7308,,,,Community,1,43.3,U.S.,0.8182,Accidents,NR,Some Concerns,High,High,High,Some Concerns,High,1,A vs B,2019,B,ps-ct,Structured Clinical Interview,ANOVA with Tukey's procedure; Hedges' unbiased g effect sizes; chi-squared tests for categorical outcomes,Follow-up,0.847,0.366,A,B,2019,Beck_2009_precalcfromVA_CAPS_post_14.00_clinician_TF-CBT_Other_NA_NA,32054,beck2009,,,,,,,8,17,4,16,0.6325225587435105,0.5036630526336385,0.9808292530117262,0.754615428178118,"Beck JG, Coffey SF, Foy DW, et al. Group cognitive behavior therapy for chronic posttraumatic stress disorder: an initial randomized pilot study. Behav Ther. 2009 Mar;40(1):82-92. doi: 10.1016/j.beth.2008.01.003. PMID: 19187819."
"Bisson, 2020",TF-Other,Waitlist,,,dich,CAPS,itt,post,9,clinician,,,,,,,,,,,,,No longer met the criteria for a CAPS-5 PTSD diagnosis,10,2,20,20,1.187325981,0.4792299548,Multi-modular motion-assisted memory desensitization and reconsolidation (3MDR),Waitlist,TF-Other,TF-Other,TF-Other,21,21,42,Trauma-focused,"3MDR is ""based on known therapeutic principles of virtual reality exposure therapy and eye movement desensitization and reprocessing (EMDR), embedded in a novel context in which the patient walks on a treadmill whilst immersing in and interacting with a series of self-selected images that are displayed on a large screen""; study treatment protocol involved projection of purpose-built tunnels to walk in and projection of self-selected digital pictures integrated into the software used for treatment.",Mean 63.3 (SD 14.5) minutes,Weekly,9 weekly sessions,Individual,In Person,TF-Other,Psychotherapy,,,,,,Veteran,0,42.1,U.K.,0,Mixed,"Combat-related, Rape/sexual assault, Community/school violence, Other (""severe human suffering"", ""serious injury, harm or death you caused to someone"", ""fire or explosion"", ""exposure to a war zone, sudden violent death, sudden unexpected death of smoeone close to you"", ""captivity"")",Low,Low,Low,Low,Low,Low,3,A vs B,2022,,ps-ct,,Chi-square analysis,,1.187325981,0.4792299548,A,,2022,Bisson_2020_dich_CAPS_post_9.00_NA_TF-Other_Waitlist_NA_NA,1554186,bisson2020,1.609437912,0.7071067812,10,2,20,20,,,,,,,,,"Bisson JI, van Deursen R, Hannigan B, Kitchiner N, Barawi K, Jones K, Pickles T, Skipper J, Young C, Abbott LR, van Gelderen M, Nijdam MJ, Vermetten E. Randomized controlled trial of multi-modular motion-assisted memory desensitization and reconsolidation (3MDR) for male military veterans with treatment-resistant post-traumatic stress disorder. Acta Psychiatr Scand. 2020 Aug;142(2):141-151. doi: 10.1111/acps.13200. Epub 2020 Jun 28. PMID: 32495381."
"Blanchard, 2003",TF-CBT,Waitlist,Trauma-focused cognitive behavioral therapy (TF-CBT) A,Waitlist,msd,CAPS,completer,post,,clinician,23.7,26.2,27,54,25.9,24,68.2,22.7,27,65.8,26.6,24,,,,,,1.144830711,0.3032453956,Trauma-focused cognitive behavioral therapy (TF-CBT),Waitlist,TF-CBT,Mixed exposure/ cognitive,TF-CBT,37,25,98,Trauma-focused,"Manualized treatment with emphasis on helping the patient understand PTSD as a reaction to trauma and to normalize patient's view of his/her symptoms. Treatment included progressive muscle relaxation, reading aloud description of the MVA, in vivo exposure, and behavioral activation to counteract the numbing symptoms",,Weekly,planned 8 to 12 sessions total with an expected mode of 10,Individual,In Person,TF-CBT,Psychotherapy,,,9.8,1.2,,Community,1,39.9,U.S.,0.7347,Accidents,NR,Some Concerns,Low,High,Low,Some Concerns,High,1,A vs C,2019,C,ps-ps-ct,Structured Clinical Interview,"Repeated measures ANOVA for change in mean score from baseline, ANCOVA for pairwise comparison of posttreatment score, chi-squared test for diagnostic change",Follow-up,1.145,0.304,A,C,2019,Blanchard_2003_precalcfromVA_CAPS_post_NA_clinician_TF-CBT_Waitlist_Trauma-focusedcognitivebehavioraltherapy(TF-CBT)A_Waitlist,25272,blanchard2003,,,,,,,18,27,5,24,1.163150809805681,0.4205375748394569,2.028148247292286,0.6475324282335481,"Blanchard EB, Hickling EJ, Devineni T, et al. A controlled evaluation of cognitive behavioural therapy for posttraumatic stress in motor vehicle accident survivors. Behav Res Ther. 2003 Jan;41(1):79-96.  PMID: 12488121."
"Blanchard, 2003",Other non-trauma-focused,Waitlist,PTSD psychotherapy B,Waitlist,msd,CAPS,completer,post,,clinician,40.1,25.7,27,54,25.9,24,65,25.9,36,65.8,26.6,24,,,,,,0.5305930197,0.2855708635,PTSD psychotherapy,Waitlist,Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,36,25,98,Non-Trauma-focused,"Manualized treatment with emphasis on helping the patient understand PTSD as a reaction to trauma and to normalize patient's view of his/her symptoms. Therapist provided support on issues raised, including interpersonal or relationship issues, work issues, etc.",,Weekly,planned 8 to 12 sessions total with an expected mode of 10,Individual,In Person,Other non-trauma-focused,Psychotherapy,,,10,1.2,,Community,1,39.9,U.S.,0.7347,Accidents,NR,Some Concerns,Low,High,Low,Some Concerns,High,1,B vs C,2019,C,ps-ps-ct,Structured Clinical Interview,"Repeated measures ANOVA for change in mean score from baseline, ANCOVA for pairwise comparison of posttreatment score, chi-squared test for diagnostic change",Follow-up,0.531,0.286,B,C,2019,Blanchard_2003_precalcfromVA_CAPS_post_NA_clinician_Othernon-trauma-focused_Waitlist_PTSDpsychotherapyB_Waitlist,25272,blanchard2003,,,,,,,10,27,5,24,0.5753641449035618,0.4704214028892567,0.8043728156701697,0.6414476661109098,"Blanchard EB, Hickling EJ, Devineni T, et al. A controlled evaluation of cognitive behavioural therapy for posttraumatic stress in motor vehicle accident survivors. Behav Res Ther. 2003 Jan;41(1):79-96.  PMID: 12488121."
"Bohus, 2013",Mixed psychotherapy,TAU,,,msd,CAPS,itt,post,12,clinician,60.31,26.79,34,83.53,16.5,34,87.92,14.2,36,82.63,18.2,38,,,,,,1.031780423,0.2585206727,Dialectical Behavior Therapy (DBT) +  trauma-focused cognitive behavioral therapy (TF-CBT),Treatment as usual (TAU),Mixed psychotherapy,Mixed psychotherapy,Mixed psychotherapy,43,39,82,Trauma-focused,"Integrated trauma-focused cognitive and exposure-based interventions described by Foa et al (2007) and Ehlers & Clark (2000). Intervention included individual exposure-based treatment plus the following weekly group treatments: skills training, self-esteem intervention, mindfulness sessions, PTSD-specific psychoeducation, and non-specific group interventions (music therapy, art therapy)","Individual sessions: 45 minutes





Group sessions: 90 minutes skills training, 60 minutes self-esteem intervention, 25 minutes mindfulness, 60 minutes PTSD-specific psychoeducation, and 90 minutes non-specific interventions","Individual sessions: twice weekly





Group sessions: weekly",,Mixed,In Person,Mixed psychotherapy,Psychotherapy,,,25,,,Community,1,35.95,Germany,1,Child sexual abuse,NR,Some Concerns,Low,Low,Low,Low,Some Concerns,2,A vs B,2019,B,ps-ct,Structured Clinical Interview,"Hierarchical linear model, Hedges' g for change in mean score, Fisher's exact test for diagnostic change and clinically meaningful response",Follow-up,1.032,0.259,A,B,2019,Bohus_2013_precalcfromVA_CAPS_post_12.00_clinician_Mixedpsychotherapy_TAU_NA_NA,41533,bohus2013,,,,,,,9,34,0,34,Inf,Inf,Inf,Inf,"Bohus MJ, Dyer AS, Priebe K, et al. Dialectical behaviour therapy for post-traumatic stress disorder after childhood sexual abuse in patients with and without borderline personality disorder: a randomised controlled trial. Psychother Psychosom. 2013 Jun;82(4):221-33. doi: 10.1159/000348451. PMID: 23712109."
"Bradshaw, 2014",TF-Other,Waitlist,,,msd,CAPS,itt,post,2,clinician,21,7.38,5,85.2,27.67,5,71.4,18.24,5,87.4,16.21,5,,,,,,2.863615678,0.9500430729,Observed and  Experiential Integration - Switching component,Waitlist,TF-Other,TF-Other,TF-Other,5,5,10,Trauma-focused,"Participant instructed to close his/her eyes and envision the traumatic incident. When patient experiences physical or emotional signs of distress, instruction is given to uncover the nondominant eye and cover the dominant eye. Dominant/nondominant eye is alternatingly covered or both uncovered.",60 minutes,,3 sessions total,Individual,In Person,TF-Other,Psychotherapy,,,,,,Community,1,43,Canada,0.8,Mixed,"rape/sexual assault, intimate partner violence, accidents, community/school violence",Some Concerns,Some Concerns,Low,High,Some Concerns,High,1,A vs B,2019,B,ps-ct,Structured Clinical Interview,ANOVA,Follow-up,2.862,1.026,A,B,2019,Bradshaw_2014_precalcfromVA_CAPS_post_2.00_clinician_TF-Other_Waitlist_NA_NA,45231,bradshaw2014,,,,,,,5,5,0,5,Inf,Inf,Inf,Inf,"Bradshaw RA, McDonald MJ, Grace R, et al. A randomized clinical trial of Observed and Experiential Integration (OEI): a simple, innovative intervention for affect regulation in clients with PTSD. Traumatology (Tallahass Fla). 2014 Sep;20(3):161-71. doi: 10.1037/h0099401."
"Brom, 1989",Exposure Therapy,Waitlist,Exposure therapy A,Waitlist,msd,IES,other,post,,self-report,28,19.5,31,46.5,15.2,23,47.4,12,31,51.1,14.1,23,,,,,,1.023806519,0.2927955681,Exposure therapy,Waitlist,TF-CBT,Primarily exposure,Prim exposure,31,23,112,Trauma-focused,"After the patient has learned relaxation techniques, they are encouraged to re-experience the traumatic event. The patient is then confronted with the previously avoided stimuli, which beforehand are categorized in hierarchies, and learns skills to strengthen the feeling of control.",,,,Individual,In Person,Exposure Therapy,Psychotherapy & CIH,,,15,2.9,,Community,1,42,The Netherlands,0.79,Mixed,"accidents, community/school violence, illness/medical procedure, other (loss of loved one, undefined)",Some Concerns,High,Low,High,Some Concerns,High,1,A vs D,2019,D,ps-ps-ct,Self report,t tests,,,,A,D,2019,Brom_1989_precalcfromVA_IES_post_NA_self-report_ExposureTherapy_Waitlist_ExposuretherapyA_Waitlist,3090,brom1989,,,,,,,13,31,2,23,1.573309188345595,0.7079454438990216,2.02595285672885,0.8246803502555885,"Brom D, Kleber RJ, Defares PB. Brief psychotherapy for posttraumatic stress disorders. J Consult Clin Psychol. 1989;57(5):607-12.  PMID: 2571625."
"Brom, 1989",Other non-trauma-focused,Waitlist,Psychodynamic psychotherapy C,Waitlist,msd,IES,other,post,,self-report,32.7,16.5,29,46.5,15.2,23,46.3,13.5,29,51.1,14.1,23,,,,,,0.8526380484,0.2918337717,Psychodynamic psychotherapy,Waitlist,Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,29,23,112,Non-Trauma-focused,"Aim of this therapy is limited to the solving of the intrapsychic conflicts resulting from the traumatic experience, with the therapist playing an active role.",,,,Individual,In Person,Other non-trauma-focused,Psychotherapy & CIH,,,18.8,2.6,,Community,1,42,The Netherlands,0.79,Mixed,"accidents, community/school violence, illness/medical procedure, other (loss of loved one, undefined)",Some Concerns,High,Low,High,Some Concerns,High,1,C vs D,2019,D,ps-ps-ct,Self report,t tests,,,,C,D,2019,Brom_1989_precalcfromVA_IES_post_NA_self-report_Othernon-trauma-focused_Waitlist_PsychodynamicpsychotherapyC_Waitlist,3090,brom1989,,,,,,,8,29,2,23,1.154492747062566,0.7396208356379268,1.386294361119891,0.8486684247915056,"Brom D, Kleber RJ, Defares PB. Brief psychotherapy for posttraumatic stress disorders. J Consult Clin Psychol. 1989;57(5):607-12.  PMID: 2571625."
"Bryant, 2019",TF-CBT,Waitlist,Trauma-focused cognitive behavioral therapy (TF-CBT) A,Waitlist,precalc_g_from_va,CAPS,itt,post,12,clinician,,,,,,,80.4,14.1,33,75,16.2,34,,,,,,1.355,0.304,Trauma-focused cognitive behavioral therapy (TF-CBT),Waitlist,TF-CBT,Mixed exposure/ cognitive,TF-CBT,33,34,100,Trauma-focused,"CBT included psychoeducation, CBT skills building, prolonged imaginal exposure, in vivo exposure, cognitive restructuring and relapse prevention.",90 minutes with 40 minutes of imaginal exposure,Weekly,,Individual,In Person,TF-CBT,Psychotherapy,,,,,,Community,1,43.63,Australia,0.23,Other,"emergency service personnel including police, firefighters, and paramedics; exposure to fatality",Low,Low,Low,Low,Low,Low,3,A vs C,2020,C,ps-ps-ct,Structured Clinical Interview,Hierarchical linear mixed models,Change,1.355,0.304,A,C,2020,Bryant_2019_precalcfromVA_CAPS_post_12.00_clinician_TF-CBT_Waitlist_Trauma-focusedcognitivebehavioraltherapy(TF-CBT)A_Waitlist,51039,bryant2019,,,,,,,,,,,,,,,"Bryant RA, Kenny L, Rawson N, et al. Efficacy of exposure-based cognitive behaviour therapy for post-traumatic stress disorder in emergency service personnel: a randomised clinical trial. Psychol Med. 2019 Jul;49(9):1565-73. doi: 10.1017/S0033291718002234. PMID: 30149825."
"Bryant, 2019",TF-CBT,Waitlist,Trauma-focused cognitive behavioral therapy (TF-CBT) B,Waitlist,precalc_g_from_va,CAPS,itt,post,12,clinician,,,,,,,70.5,18.6,33,75,16.2,34,,,,,,1.407,0.301,Trauma-focused cognitive behavioral therapy (TF-CBT),Waitlist,TF-CBT,Mixed exposure/ cognitive,TF-CBT,33,34,100,Trauma-focused,"CBT included psychoeducation, CBT skills building, brief imaginal exposure, in vivo exposure, cognitive restructuring and relapse prevention.",60 minutes with 10 minutes of imaginal exposure,Weekly,,Individual,In Person,TF-CBT,Psychotherapy,,,,,,Community,1,43.63,Australia,0.23,Other,"emergency service personnel including police, firefighters, and paramedics; exposure to fatality",Low,Low,Low,Low,Low,Low,3,B vs C,2020,C,ps-ps-ct,Structured Clinical Interview,Hierarchical linear mixed models,Change,1.407,0.301,B,C,2020,Bryant_2019_precalcfromVA_CAPS_post_12.00_clinician_TF-CBT_Waitlist_Trauma-focusedcognitivebehavioraltherapy(TF-CBT)B_Waitlist,51039,bryant2019,,,,,,,,,,,,,,,"Bryant RA, Kenny L, Rawson N, et al. Efficacy of exposure-based cognitive behaviour therapy for post-traumatic stress disorder in emergency service personnel: a randomised clinical trial. Psychol Med. 2019 Jul;49(9):1565-73. doi: 10.1017/S0033291718002234. PMID: 30149825."
"Buhmann, 2016",TF-CBT,Waitlist,,,msd,HTQ,itt,post,24,self-report,3.3,0.7,52,3.2,0.5,48,3.3,0.5,70,3.3,0.5,68,,,,,,-0.1620684319,0.2004930727,Trauma-focused cognitive behavioral therapy (TF-CBT),Waitlist,TF-CBT,Mixed exposure/ cognitive,TF-CBT,70,68,280,Trauma-focused,"Manualized CBT including methods from acceptance and commitment therapy, mindfulness exercises, and in vivo and visualized exposure.",,,16 total sessions,Individual,In Person,TF-CBT,Psychotherapy & pharmacotherapy,,,13,3,,Community,1,45,Denmark,0.4101,Terrorism/political violence/forced displacement,NR,Low,Low,High,High,Low,High,1,B vs D,2019,D,ps-ct,Self report,Linear regression,Follow-up,-0.162,0.201,B,D,2019,Buhmann_2016_precalcfromVA_HTQ_post_24.00_self-report_TF-CBT_Waitlist_NA_NA,46863,buhmann2016,,,,,,,0,52,0,48,,Inf,,Inf,"Buhmann CB, Nordentoft M, Ekstrom M, et al. The effect of flexible cognitive-behavioural therapy and medical treatment, including antidepressants on post-traumatic stress disorder and depression in traumatised refugees: pragmatic randomised controlled clinical trial. Br J Psychiatry. 2016 Mar;208(3):252-9. doi: 10.1192/bjp.bp.114.150961. PMID: 26541687."
"Butler, 2018",Mixed psychotherapy,Waitlist,,,msd,PDS,other,post,6,self-report,28.1,12,9,24,14.5,7,34.4,7.28,9,31.2,14.1,7,,,,,,-0.2952329847,0.5069668988,Eye Movement Desensitization and Reprocessing (EMDR) + progressive muscle relaxation (PMR) + group psychoeducation,Waitlist,Mixed psychotherapy,Mixed psychotherapy,Mixed psychotherapy,11,9,20,Trauma-focused,"Individual trauma-specific therapy sessions using EMDR, plus relaxation therapy using PMR, and group psychoeducation sessions. Participants also had occupational therapy (100 minutes per day), sports therapy (50 minutes per day), and physiotherapy (100 minutes per week).","EMDR: 120 minutes;


PMR: 50 minutes;


Group psychoeducation: NR (total 250 minutes per week)",EMDR: twice per week; PMR: daily; Group psychoeducation: NR (total 250 minutes per week),,Individual,In Person,Mixed psychotherapy,Psychotherapy & CIH,completed therapy,1,,,,Active Duty Military,0,28.4,Germany,0,Combat-related,NR,Some Concerns,High,Low,High,Low,High,1,A vs B,2020,B,ps-ct,Self report,Repeated measures ANOVA,Follow-up,-0.295,0.507,A,B,2020,Butler_2018_precalcfromVA_PDS_post_6.00_self-report_Mixedpsychotherapy_Waitlist_NA_NA,1508056,butler2018,,,,,,,2,9,2,7,-0.2513144282809061,0.8637312927246217,-0.3364722366212131,1.158817130895614,"Butler O, Willmund G, Gleich T, et al. Hippocampal gray matter increases following multimodal psychological treatment for combat-related post-traumatic stress disorder. Brain Behav. 2018 May;8(5):e00956. doi: 10.1002/brb3.956. PMID: 29761009."
"Carlson, 1998",EMDR,TAU,,,msd,IES,completer,post,6,self-report,35.2,22,10,38.7,16.2,12,52.5,9,10,52.8,11.5,12,,,,,,0.1769355488,0.4290712268,Eye Movement Desensitization and Reprocessing (EMDR),Treatment as usual (TAU),EMDR,EMDR,EMDR,10,12,35,Trauma-focused,"Manual-based intervention according to Shapiro 1995. Each session included 20 to 28 back-and-forth motions while participants listened to traumatic scripts and focused on related images, negative cognitions and bodily sensations, and finally on the positive cognition",60 to 75 minutes,Twice weekly,,Individual,In Person,EMDR,Psychotherapy & CIH,,,,,,Veteran,0,48,U.S.,0,Combat-related,NR,Some Concerns,Low,Low,High,Some Concerns,High,1,A vs C,2019,C,ps-ct,Self report,"ANOVA and Cohen's d for change in mean score, t-test for change in mean scores at 9-month followup",,,,A,C,2019,Carlson_1998_precalcfromVA_IES_post_6.00_self-report_EMDR_TAU_NA_NA,13921,carlson1998,,,,,,,3,10,3,12,0.1823215567939546,0.695221787153807,0.2513144282809062,0.959497222838566,"Carlson JG, Chemtob CM, Rusnak K, et al. Eye Movement Desensitization and Reprocessing (EMDR) treatment for combat-related posttraumatic stress disorder. J Trauma Stress. 1998 Jan;11(1):3-24. doi: 10.1023/A:1024448814268. PMID: 9479673."
"Carlson, 1998",EMDR,TAU,,,msd,M-PTSD,completer,post,6,self-report,92.8,20.8,10,112.9,21.7,12,117.5,14.3,10,117.9,17.6,12,,,,,,0.9078392135,0.4511900708,Eye Movement Desensitization and Reprocessing (EMDR),Treatment as usual (TAU),EMDR,EMDR,EMDR,10,12,35,Trauma-focused,"Manual-based intervention according to Shapiro 1995. Each session included 20 to 28 back-and-forth motions while participants listened to traumatic scripts and focused on related images, negative cognitions and bodily sensations, and finally on the positive cognition",60 to 75 minutes,Twice weekly,,Individual,In Person,EMDR,Psychotherapy & CIH,,,,,,Veteran,0,48,U.S.,0,Combat-related,NR,Some Concerns,Low,Low,High,Some Concerns,High,1,A vs C,2019,C,ps-ct,Self report,"ANOVA and Cohen's d for change in mean score, t-test for change in mean scores at 9-month followup",,,,A,C,2019,Carlson_1998_precalcfromVA_M-PTSD_post_6.00_self-report_EMDR_TAU_NA_NA,13921,carlson1998,,,,,,,1,10,0,12,Inf,Inf,Inf,Inf,"Carlson JG, Chemtob CM, Rusnak K, et al. Eye Movement Desensitization and Reprocessing (EMDR) treatment for combat-related posttraumatic stress disorder. J Trauma Stress. 1998 Jan;11(1):3-24. doi: 10.1023/A:1024448814268. PMID: 9479673."
"Carlson, 1998",EMDR,TAU,,,msd,PSS-SR,completer,post,6,self-report,3,2.4,10,6.2,2.4,12,7.3,2.1,10,7.5,1.7,12,,,,,,1.282700422,0.4730088516,Eye Movement Desensitization and Reprocessing (EMDR),Treatment as usual (TAU),EMDR,EMDR,EMDR,10,12,35,Trauma-focused,"Manual-based intervention according to Shapiro 1995. Each session included 20 to 28 back-and-forth motions while participants listened to traumatic scripts and focused on related images, negative cognitions and bodily sensations, and finally on the positive cognition",60 to 75 minutes,Twice weekly,,Individual,In Person,EMDR,Psychotherapy & CIH,,,,,,Veteran,0,48,U.S.,0,Combat-related,NR,Some Concerns,Low,Low,High,Some Concerns,High,1,A vs C,2019,C,ps-ct,Self report,"ANOVA and Cohen's d for change in mean score, t-test for change in mean scores at 9-month followup",,,,A,C,2019,Carlson_1998_precalcfromVA_PSS-SR_post_6.00_self-report_EMDR_TAU_NA_NA,13921,carlson1998,,,,,,,6,10,2,12,1.280933845462064,0.695221787153807,2.014903020542265,1.008298897483612,"Carlson JG, Chemtob CM, Rusnak K, et al. Eye Movement Desensitization and Reprocessing (EMDR) treatment for combat-related posttraumatic stress disorder. J Trauma Stress. 1998 Jan;11(1):3-24. doi: 10.1023/A:1024448814268. PMID: 9479673."
"Chard, 2005",TF-Cognitive Therapy,Other,,,msd,CAPS,completer,post,17,clinician,9,11.04,28,62.96,30.68,27,65.46,26.39,36,68.3,23.67,35,,,,,,2.324088522,0.3511146645,Cognitive Processing Therapy (CPT),Minimal attention,TF-CBT,Primarily cognitive,TF-CT,36,35,71,Trauma-focused,"Adapted from Resick & Schnicke's (1993) CPT manual to include schema-discrepant and schema-congruent beliefs, and a session on assertiveness/communications, sexual intimacy, and social support. Intervention included weekly group sessions and individual therapy session in the first 9 and last week of intervention","Group session: 90 minutes





Individual session: 60 minutes",Weekly,,Mixed,In Person,TF-Cognitive Therapy,Psychotherapy,,,,,,Community,1,32.77,U.S.,1,Child sexual abuse,NR,Some Concerns,Low,Low,Low,Low,Some Concerns,2,A vs B,2019,B,ps-ct,Structured Clinical Interview,"ANCOVA for change in mean scores, chi-square for diagnostic change and clinically meaningful response",Follow-up,2.324,0.354,A,B,2019,Chard_2005_precalcfromVA_CAPS_post_17.00_clinician_TF-CognitiveTherapy_Other_NA_NA,27944,chard2005,,,,,,,28,28,5,27,1.686398953570229,0.4036867138796656,Inf,Inf,Chard KM. An evaluation of cognitive processing therapy for the treatment of posttraumatic stress disorder related to childhood sexual abuse. J Consult Clin Psychol. 2005 Oct;73(5):965-71. doi: 10.1037/0022-006X.73.5.965. PMID: 16287396.
"Cloitre, 2002",Mixed psychotherapy,Other,,,msd,CAPS,completer,post,12,clinician,31,25.2,22,62,22.7,24,69,16.3,22,69,16.6,24,,,,,,1.273461479,0.3246054475,Skills Training in Affect and Interpersonal Regulation (STAIR) plus modified Prolonged Exposure (PE),Minimal attention,Mixed psychotherapy,Mixed psychotherapy,Mixed psychotherapy,31,27,58,Trauma-focused,"STAIR is CBT targeting development of emotion management and interpersonal skills. Topics include labeling and identifying feelings, emotion management, distress tolerance, acceptance of feelings, identification of trauma-based interpersonal schemas and conflict between trauma-generated feelings and current interpersonal goals, and role play related to issue of power and control. PE followed technique described by Foa & Rothbaum (1998), except in vivo exposure to rape-related cues was eliminated, while postexposure stabilization check, postexposure emotion-focused processing, and identification of negative interpersonal schemas and addressed with skills from STAIR.",STAIR: 1 hour; Modified PE: 1.5 hour,STAIR: weekly; Modified PE: twice weekly,,Individual,In Person,Mixed psychotherapy,Psychotherapy,,,,,,Community,1,34,U.S.,1,Mixed,"child physical abuse, child sexual abuse",Some Concerns,Low,Low,Low,Some Concerns,Some Concerns,2,A vs B,2019,B,ps-ct,Structured Clinical Interview,"Repeated ANOVA, and Cohen's d for change in mean score, chi-square for diagnostic change and clinically meaningful response",Follow-up,1.273,0.326,A,B,2019,Cloitre_2002_precalcfromVA_CAPS_post_12.00_clinician_Mixedpsychotherapy_Other_NA_NA,24762,cloitre2002,,,,,,,12,22,3,24,1.47330573810952,0.5740604972870494,2.128231705849268,0.7511895328648518,"Cloitre M, Koenen KC, Cohen LR, et al. Skills training in affective and interpersonal regulation followed by exposure: a phase-based treatment for PTSD related to childhood abuse. J Consult Clin Psychol. 2002 Oct;70(5):1067-74. doi: 10.1037//0022-006X.70.5.1067. PMID: 12362957."
"Duffy, 2007",TF-Cognitive Therapy,Waitlist,,,msd,PDS,itt,post,12,self-report,21.8,14.4,29,33.4,11.6,29,34.7,7.8,29,36.8,6.8,29,,,,,,0.8752428113,0.2752285053,Cognitive Therapy for PTSD (CT-PTSD),Waitlist,TF-CBT,Primarily cognitive,TF-CT,29,29,58,Trauma-focused,"Based on Ehlers and Clark's model that addresses excessively negative appraisals of the traumatic event or its sequelae, disturbance in autobiographical memory, and dysfunctional cognitive and behavioral strategies. Includes behavioral activation early in therapy.",,Up to weekly,,Individual,In Person,TF-Cognitive Therapy,Psychotherapy,completed ≥6 sessions or ended therapy earlier as agreed by the therapist because of noticeable improvement,0.6897,5.9,2.5,patients received additional average 2.0 [SD 3.2] sessions after 12-week period for a total of 7.8 [SD 5.1] sessions,Community,1,43.9,U.K.,0.3966,Mixed,"terrorism/political violence/forced displacement, community/school violence, accidents",Low,Low,Low,Low,Low,Low,3,A vs B,2019,B,ps-ct,Self report,ANCOVA for between-groups and t-test for within group changes,Follow-up,0.875,0.276,A,B,2019,Duffy_2007_precalcfromVA_PDS_post_12.00_self-report_TF-CognitiveTherapy_Waitlist_NA_NA,29736,duffy2007,,,,,,,11,29,3,29,1.299282984130261,0.596051094287264,1.667007764255578,0.7199024366256292,"Duffy M, Gillespie K, Clark DM. Post-traumatic stress disorder in the context of terrorism and other civil conflict in Northern Ireland: randomised controlled trial. BMJ. 2007 Jun 2;334(7604):1147-50. doi: 10.1136/bmj.39021.846852.BE. PMID: 17495988."
